      ,      , RMSE ,      ,  MSE ,      ,   R¬≤ ,      , Slope ,      , Intercept ,      , Tau ,    ,
  ---  ,  ---  ,  ---  ,  ---  ,  ---  ,  ---  ,  ---  ,  ---  ,  ---  ,  ---  ,  ---  ,  ---  , --- , --- ,
ΔG°, SMIRNOFF99Frosst ,0.87," [0.59, 1.16] ",-0.36," [-0.74, -0.01] ",0.34," [0.02, 0.68] ",0.45," [0.11, 0.75] ",-1.85," [-0.91, -2.83] ",0.4," [0.67, 0.07] ", 
ΔG°, GAFF v1.7 ,0.68," [0.49, 0.88] ",0.03," [-0.28, 0.34] ",0.52," [0.16, 0.80] ",0.68," [0.33, 0.97] ",-0.84," [0.08, -1.75] ",0.53," [0.76, 0.23] ", 
ΔG°, GAFF v2.1 ,1.46," [1.21, 1.71] ",-1.36," [-1.61, -1.10] ",0.81," [0.61, 0.93] ",1.18," [0.85, 1.46] ",-0.87," [0.02, -1.74] ",0.72," [0.87, 0.54] ", 
ΔH, SMIRNOFF99Frosst ,1.41," [0.94, 1.93] ",0.2," [-0.43, 0.84] ",0.53," [0.20, 0.79] ",0.83," [0.40, 1.53] ",-0.14," [2.12, -1.30] ",0.59," [0.80, 0.30] ", 
ΔH, GAFF v1.7 ,1.95," [1.34, 2.55] ",1.24," [0.55, 1.93] ",0.47," [0.13, 0.78] ",0.79," [0.32, 1.49] ",0.82," [3.10, -0.54] ",0.53," [0.75, 0.23] ", 
ΔH, GAFF v2.1 ,2.43," [1.75, 3.06] ",-1.73," [-2.51, -0.96] ",0.69," [0.49, 0.85] ",1.4," [0.99, 2.29] ",-0.66," [2.15, -1.61] ",0.63," [0.82, 0.35] ", 
−TΔS°, SMIRNOFF99Frosst ,1.73," [1.17, 2.29] ",-0.57," [-1.32, 0.16] ",0.29," [0.02, 0.61] ",0.62," [0.16, 1.09] ",-0.68," [0.05, -1.43] ",0.27," [0.58, -0.09] ", 
−TΔS°, GAFF v1.7 ,2.07," [1.35, 2.76] ",-1.22," [-2.00, -0.46] ",0.29," [0.00, 0.67] ",0.63," [-0.02, 1.18] ",-1.31," [-0.58, -2.09] ",0.27," [0.58, -0.09] ", 
−TΔS°, GAFF v2.1 ,1.46," [1.12, 1.77] ",0.37," [-0.27, 1.00] ",0.5," [0.13, 0.76] ",0.93," [0.58, 1.30] ",0.37," [1.07, -0.34] ",0.37," [0.67, -0.01] ", 
