   ,  ,  ,  ,  ,  , SMIRNOFF99Frosst , GAFF v1.7 
 --- , --- , --- , --- , --- , --- , --- , --- 
  Atom 1 , Atom 2 , Atom 3 , Atom 4 , Per , Phase , Height (kcal/mol) , Height (kcal/mol) 
  H1 , C1 , C2 , O2 ,1,0,0.25, NP 
  H1 , C1 , C2 , O2 ,3,0,0,0.16
